#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
PF01829	Peptidase A6 family
PF01830	Peptidase C7 family
PF01831	Peptidase C16 family
PF01832	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
# PF01833	IPT/TIG domain
# PF01835	MG2 domain
# PF01842	ACT domain
# PF01848	Hok/gef family
# PF01853	MOZ/SAS family
PF01855	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg
# PF01861	Protein of unknown function DUF43
PF01862	Pyruvoyl-dependent arginine decarboxylase (PvlArgDC)
PF01872	RibD C-terminal domain
PF01874	ATP:dephospho-CoA triphosphoribosyl transferase
PF01880	Desulfoferrodoxin
# PF01881	CRISPR associated protein Cas6
PF01883	Iron-sulfur cluster assembly protein
PF01884	PcrB family
# PF01885	RNA 2'-phosphotransferase, Tpt1 / KptA family
PF01887	S-adenosyl-l-methionine hydroxide adenosyltransferase
PF01888	CbiD
# PF01894	Uncharacterised protein family UPF0047
# PF01896	DNA primase small subunit
PF01902	Diphthamide synthase
# PF01903	CbiX
# PF01909	Nucleotidyltransferase domain
PF01910	Thiamine-binding protein
PF01913	Formylmethanofuran-tetrahydromethanopterin formyltransferase
PF01915	Glycosyl hydrolase family 3 C-terminal domain
PF01916	Deoxyhypusine synthase
PF01923	Cobalamin adenosyltransferase
# PF01925	Sulfite exporter TauE/SafE
# PF01928	CYTH domain
# PF01935	Domain of unknown function DUF87
PF01941	S-adenosylmethionine synthetase (AdoMet synthetase)
PF01943	Polysaccharide biosynthesis protein
PF01946	Thi4 family
# PF01947	Protein of unknown function (DUF98)
# PF01958	Domain of unknown function DUF108
PF01959	3-dehydroquinate synthase (EC 4.6.1.3)
PF01960	ArgJ family
PF01964	Radical SAM ThiC family
PF01966	HD domain
PF01967	MoaC family
PF01968	Hydantoinase/oxoprolinase
# PF01974	tRNA intron endonuclease, catalytic C-terminal domain
# PF01975	Survival protein SurE
PF01977	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PF01979	Amidohydrolase family
# PF01982	Domain of unknown function DUF120
PF01983	Guanylyl transferase CofC like
# PF01987	Mitochondrial biogenesis AIM24
# PF01988	VIT family
PF01993	methylene-5,6,7,8-tetrahydromethanopterin dehydrogenase
# PF01994	tRNA ribose 2'-O-methyltransferase, aTrm56
PF01996	F420-0:Gamma-glutamyl ligase
# PF02001	Protein of unknown function  DUF134
# PF02002	TFIIE alpha subunit
# PF02005	N2,N2-dimethylguanosine tRNA methyltransferase
PF02007	Tetrahydromethanopterin S-methyltransferase MtrH subunit
PF02011	Glycosyl hydrolase family 48
# PF02012	BNR/Asp-box repeat
# PF02013	Cellulose or protein binding domain
PF02015	Glycosyl hydrolase family 45
# PF02018	Carbohydrate binding domain
PF02027	RolB/RolC glucosidase family
PF02031	Streptomyces extracellular neutral proteinase (M7) family
# PF02036	SCP-2 sterol transfer family
# PF02040	Arsenical pump membrane protein
# PF02046	Cytochrome c oxidase subunit VIa
# PF02052	Gallidermin
PF02055	Glycosyl hydrolase family 30 TIM-barrel domain
PF02056	Family 4 glycosyl hydrolase
PF02057	Glycosyl hydrolase family 59
PF02065	Melibiase
PF02073	Thermophilic metalloprotease (M29)
PF02074	Carboxypeptidase Taq (M32) metallopeptidase
# PF02080	TrkA-C domain
# PF02085	Class III cytochrome C family
# PF02086	D12 class N6 adenine-specific DNA methyltransferase
# PF02099	Josephin
PF02102	Deuterolysin metalloprotease (M35) family
# PF02109	DAD family
PF02110	Hydroxyethylthiazole kinase family
PF02112	cAMP phosphodiesterases class-II
PF02113	D-Ala-D-Ala carboxypeptidase 3 (S13) family
PF02122	Peptidase S39
PF02126	Phosphotriesterase family
PF02127	Aminopeptidase I zinc metalloprotease (M18)
PF02128	Fungalysin metallopeptidase (M36)
PF02129	X-Pro dipeptidyl-peptidase (S15 family)
# PF02130	Uncharacterized protein family UPF0054
# PF02135	TAZ zinc finger
PF02137	Adenosine-deaminase (editase) domain
PF02142	MGS-like domain
PF02152	Dihydroneopterin aldolase
PF02153	Prephenate dehydrogenase
PF02156	Glycosyl hydrolase family 26
PF02160	Cauliflower mosaic virus peptidase (A3)
PF02163	Peptidase family M50
# PF02210	Laminin G domain
PF02211	Nitrile hydratase beta subunit
PF02219	Methylenetetrahydrofolate reductase
PF02223	Thymidylate kinase
PF02224	Cytidylate kinase
PF02230	Phospholipase/Carboxylesterase
PF02233	NAD(P) transhydrogenase beta subunit
PF02237	Biotin protein ligase C terminal domain
PF02240	Methyl-coenzyme M reductase gamma subunit
PF02241	Methyl-coenzyme M reductase beta subunit, C-terminal domain
PF02249	Methyl-coenzyme M reductase alpha subunit, C-terminal domain
PF02253	Phospholipase A1
#PF02254	TrkA-N domain
PF02256	Iron hydrogenase small subunit
PF02261	Aspartate decarboxylase
PF02267	ADP-ribosyl cyclase
PF02273	Acyl transferase
PF02274	Amidinotransferase
PF02275	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF02276	Photosynthetic reaction centre cytochrome C subunit
PF02277	Phosphoribosyltransferase
PF02278	Polysaccharide lyase family 8, super-sandwich domain
PF02283	Cobinamide kinase / cobinamide phosphate guanyltransferase
#PF02284	Cytochrome c oxidase subunit Va
#PF02285	Cytochrome oxidase c subunit VIII
PF02286	Dehydratase large subunit
PF02287	Dehydratase small subunit
PF02288	Dehydratase medium subunit
PF02289	Cyclohydrolase (MCH)
PF02297	Cytochrome oxidase c subunit VIb
PF02302	PTS system, Lactose/Cellobiose specific IIB subunit
# PF02308	MgtC family
# PF02310	B12 binding domain
3PF02311	AraC-like ligand binding domain
PF02315	Methanol dehydrogenase beta subunit
PF02317	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
#PF02322	Cytochrome bd terminal oxidase subunit II
PF02324	Glycosyl hydrolase family 70
#PF02326	Plant ATP synthase F0
PF02329	Histidine carboxylase PI chain
PF02333	Phytase
#PF02335	Cytochrome c552
PF02347	Glycine cleavage system P-protein
PF02348	Cytidylyltransferase
PF02350	UDP-N-acetylglucosamine 2-epimerase
PF02353	Mycolic acid cyclopropane synthetase
PF02358	Trehalose-phosphatase
PF02364	1,3-beta-glucan synthase component
PF02366	Dolichyl-phosphate-mannose-protein mannosyltransferase
PF02367	Threonylcarbamoyl adenosine biosynthesis protein TsaE
PF02373	JmjC domain, hydroxylase
PF02378	Phosphotransferase system, EIIC
#PF02383	SacI homology domain
#PF02384	N-6 DNA Methylase
#PF02386	Cation transport protein
#PF02388	FemAB family
PF02390	Putative methyltransferase
PF02391	MoaE protein
PF02395	Immunoglobulin A1 protease
PF02397	Bacterial sugar transferase
PF02401	LytB protein
#PF02403	Seryl-tRNA synthetase N-terminal domain
PF02406	MmoB/DmpM family
#PF02407	Putative viral replication protein
#PF02416	mttA/Hcf106 family
PF02423	Ornithine cyclodeaminase/mu-crystallin family
PF02426	Muconolactone delta-isomerase
PF02431	Chalcone-flavanone isomerase
PF02434	Fringe-like
PF02435	Levansucrase/Invertase
PF02441	Flavoprotein
PF02446	4-alpha-glucanotransferase
PF02449	Beta-galactosidase
PF02450	Lecithin:cholesterol acyltransferase
PF02458	Transferase family
#PF02463	RecF/RecN/SMC N terminal domain
#PF02470	MlaD protein
PF02474	Nodulation protein A (NodA)
PF02475	Met-10+ like-protein
PF02485	Core-2/I-Branching enzyme
#PF02486	Replication initiation factor
#PF02492	CobW/HypB/UreG, nucleotide-binding domain
PF02502	Ribose/Galactose Isomerase
PF02504	Fatty acid synthesis protein
PF02511	Thymidylate synthase complementing protein
PF02514	CobN/Magnesium Chelatase
PF02515	CoA-transferase family III
PF02516	Oligosaccharyl transferase STT3 subunit
PF02522	Aminoglycoside 3-N-acetyltransferase
PF02525	Flavodoxin-like fold
#PF02527	rRNA small subunit methyltransferase G
PF02538	Hydantoinase B/oxoprolinase
PF02540	NAD synthase
PF02541	Ppx/GppA phosphatase family
PF02542	YgbB family
PF02543	Carbamoyltransferase N-terminus
PF02544	3-oxo-5-alpha-steroid 4-dehydrogenase
PF02547	Queuosine biosynthesis protein
PF02548	Ketopantoate hydroxymethyltransferase
PF02550	Acetyl-CoA hydrolase/transferase N-terminal domain
PF02551	Acyl-CoA thioesterase
PF02552	CO dehydrogenase beta subunit/acetyl-CoA synthase epsilon subunit
#PF02554	Carbon starvation protein CstA
PF02557	D-alanyl-D-alanine carboxypeptidase
PF02558	Ketopantoate reductase PanE/ApbA
PF02560	Cyanate lyase C-terminal domain
#PF02562	PhoH-like protein
PF02563	Polysaccharide biosynthesis/export protein
#PF02566	OsmC-like protein
PF02567	Phenazine biosynthesis-like protein
PF02568	Thiamine biosynthesis protein (ThiI)
PF02569	Pantoate-beta-alanine ligase
PF02570	Precorrin-8X methylmutase
PF02571	Precorrin-6x reductase CbiJ/CobK
PF02572	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP
PF02574	Homocysteine S-methyltransferase
#PF02575	YbaB/EbfC DNA-binding family
#PF02577	Bifunctional nuclease
PF02579	Dinitrogenase iron-molybdenum cofactor
#PF02580	D-Tyr-tRNA(Tyr) deacylase
PF02581	Thiamine monophosphate synthase
PF02585	GlcNAc-PI de-N-acetylase
PF02590	Predicted SPOUT methyltransferase
PF02595	Glycerate kinase family
PF02597	ThiS family
PF02600	Disulfide bond formation protein DsbB
PF02602	Uroporphyrinogen-III synthase HemD
PF02603	HPr Serine kinase N terminus
PF02606	Tetraacyldisaccharide-1-P 4'-kinase
#PF02607	B12 binding domain
PF02610	L-arabinose isomerase
PF02611	CDP-diacylglycerol pyrophosphatase
PF02613	Nitrate reductase delta subunit
PF02614	Glucuronate isomerase
PF02615	Malate/L-lactate dehydrogenase
PF02618	YceG-like family
#PF02622	Uncharacterized ACR, COG1678
PF02624	YcaO cyclodehydratase, ATP-ad Mg2+-binding
PF02627	Carboxymuconolactone decarboxylase family
#PF02628	Cytochrome oxidase assembly protein
PF02629	CoA binding domain
#PF02630	SCO1/SenC
#PF02632	BioY family
PF02633	Creatinine amidohydrolase
PF02634	FdhD/NarQ family
PF02636	Putative S-adenosyl-L-methionine-dependent methyltransferase
#PF02637	GatB domain
PF02638	Glycosyl hydrolase-like 10
#PF02641	Uncharacterized ACR, COG1993
PF02649	Type I GTP cyclohydrolase folE2
PF02654	Cobalamin-5-phosphate synthase
# PF02656	Domain of unknown function (DUF202)
PF02662	Methyl-viologen-reducing hydrogenase, delta subunit
PF02664	S-Ribosylhomocysteinase (LuxS)
PF02665	Nitrate reductase gamma subunit
PF02666	Phosphatidylserine decarboxylase
PF02668	Taurine catabolism dioxygenase TauD, TfdA family
#PF02669	K+-transporting ATPase, c chain
PF02670	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PF02673	Bacitracin resistance protein BacA
PF02674	Colicin V production protein
PF02675	S-adenosylmethionine decarboxylase
#PF02681	Divergent PAP2 family
PF02684	Lipid-A-disaccharide synthetase
PF02685	Glucokinase
# PF02698	DUF218 domain
#PF02702	Osmosensitive K+ channel His kinase sensor domain
PF02706	Chain length determinant protein
PF02709	N-terminal domain of galactosyltransferase
PF02710	Hemagglutinin domain of haemagglutinin-esterase-fusion glycoprotein
PF02719	Polysaccharide biosynthesis protein
PF02727	Copper amine oxidase, N2 domain
PF02728	Copper amine oxidase, N3 domain
PF02729	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
PF02730	Aldehyde ferredoxin oxidoreductase, N-terminal domain
#PF02732	ERCC4 domain
#PF02733	Dak1 domain
#PF02734	DAK2 domain
#PF02735	Ku70/Ku80 beta-barrel domain
PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF02738	Molybdopterin-binding domain of aldehyde dehydrogenase
PF02741	FTR, proximal lobe
#PF02743	Cache domain
PF02744	Galactose-1-phosphate uridyl transferase, C-terminal domain
PF02745	Methyl-coenzyme M reductase alpha subunit, N-terminal domain
PF02746	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF02749	Quinolinate phosphoribosyl transferase, N-terminal domain
PF02754	Cysteine-rich domain
PF02769	AIR synthase related protein, C-terminal domain
PF02770	Acyl-CoA dehydrogenase, middle domain
PF02771	Acyl-CoA dehydrogenase, N-terminal domain
PF02772	S-adenosylmethionine synthetase, central domain
PF02773	S-adenosylmethionine synthetase, C-terminal domain
PF02774	Semialdehyde dehydrogenase, dimerisation domain
PF02775	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF02776	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF02777	Iron/manganese superoxide dismutases, C-terminal domain
#PF02778	tRNA intron endonuclease, N-terminal domain
PF02779	Transketolase, pyrimidine binding domain
PF02780	Transketolase, C-terminal domain
PF02781	Glucose-6-phosphate dehydrogenase, C-terminal domain
PF02782	FGGY family of carbohydrate kinases, C-terminal domain
PF02783	Methyl-coenzyme M reductase beta subunit, N-terminal domain
PF02784	Pyridoxal-dependent decarboxylase, pyridoxal binding domain
PF02785	Biotin carboxylase C-terminal domain
PF02786	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02787	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF02788	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF02789	Cytosol aminopeptidase family, N-terminal domain
PF02794	RTX toxin acyltransferase family
PF02797	Chalcone and stilbene synthases, C-terminal domain
PF02798	Glutathione S-transferase, N-terminal domain
PF02799	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain
PF02800	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF02801	Beta-ketoacyl synthase, C-terminal domain
PF02803	Thiolase, C-terminal domain
#PF02805	Metal binding domain of Ada
PF02806	Alpha amylase, C-terminal all-beta domain
PF02807	ATP:guanido phosphotransferase, N-terminal domain
#PF02811	PHP domain
PF02812	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02814	UreE urease accessory protein, N-terminal domain
PF02816	Alpha-kinase family
#PF02817	e3 binding domain
#PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
#PF02830	V4R domain
#PF02831	gpW
#PF02833	DHHA2 domain
PF02836	Glycosyl hydrolases family 2, TIM barrel domain
PF02837	Glycosyl hydrolases family 2, sugar binding domain
PF02838	Glycosyl hydrolase family 20, domain 2
PF02839	Carbohydrate binding domain
PF02843	Phosphoribosylglycinamide synthetase, C domain
PF02844	Phosphoribosylglycinamide synthetase, N domain
PF02852	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
#PF02861	Clp amino terminal domain, pathogenicity island component
PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02867	Ribonucleotide reductase, barrel domain
PF02868	Thermolysin metallopeptidase, alpha-helical domain
PF02872	5'-nucleotidase, C-terminal domain
PF02873	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF02875	Mur ligase family, glutamate ligase domain
#PF02876	Staphylococcal/Streptococcal toxin, beta-grasp domain
#PF02877	Poly(ADP-ribose) polymerase, regulatory domain
PF02878	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02879	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02880	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02882	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02884	Polysaccharide lyase family 8, C-terminal beta-sandwich domain
PF02885	Glycosyl transferase family, helical bundle domain
PF02894	Oxidoreductase family, C-terminal alpha/beta domain
PF02895	Signal transducing histidine kinase, homodimeric domain
PF02896	PEP-utilising enzyme, TIM barrel domain
PF02897	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02898	Nitric oxide synthase, oxygenase domain
PF02900	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02902	Ulp1 protease family, C-terminal catalytic domain
PF02903	Alpha amylase, N-terminal ig-like domain
PF02906	Iron only hydrogenase large subunit, C-terminal domain
PF02910	Fumarate reductase flavoprotein C-term
PF02911	Formyl transferase, C-terminal domain
PF02913	FAD linked oxidases, C-terminal domain
PF02915	Rubrerythrin
#PF02917	Pertussis toxin, subunit 1
#PF02921	Ubiquinol cytochrome reductase transmembrane region
#PF02922	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
#PF02927	Cellulase N-terminal ig-like domain
PF02929	Beta galactosidase small chain
PF02934	GatB/GatE catalytic domain
#PF02935	Cytochrome c oxidase subunit VIIc
#PF02936	Cytochrome c oxidase subunit IV
#PF02937	Cytochrome c oxidase subunit VIc
#PF02939	UcrQ family
#PF02940	mRNA capping enzyme, beta chain
PF02943	Ferredoxin thioredoxin reductase catalytic beta chain
PF02951	Prokaryotic glutathione synthetase, N-terminal domain
PF02952	L-fucose isomerase, C-terminal domain
PF02955	Prokaryotic glutathione synthetase, ATP-grasp domain
PF02958	Ecdysteroid kinase
PF02962	5-carboxymethyl-2-hydroxymuconate isomerase
PF02964	Methane monooxygenase, hydrolase gamma chain
PF02965	Vitamin B12 dependent methionine synthase, activation domain
PF02971	Formiminotransferase domain
PF02973	Sialidase, N-terminal domain
PF02975	Methylamine dehydrogenase, L chain
PF02979	Nitrile hydratase, alpha chain
PF02982	Scytalone dehydratase
#PF02999	Borrelia orf-D family
PF03007	Wax ester synthase-like Acyl-CoA acyltransferase domain
#PF03008	Archaea bacterial proteins of unknown function
PF03009	Glycerophosphoryl diester phosphodiesterase family
#PF03015	Male sterility protein
#PF03016	Exostosin family
PF03029	Conserved hypothetical ATP binding protein
PF03030	Inorganic H+ pyrophosphatase
PF03031	NLI interacting factor-like phosphatase
PF03033	Glycosyltransferase family 28 N-terminal domain
#PF03047	COMC family
PF03051	Peptidase C1-like family
#PF03054	tRNA methyl transferase
#PF03055	Retinal pigment epithelial membrane protein
PF03059	Nicotianamine synthase protein
PF03060	Nitronate monooxygenase
PF03061	Thioesterase superfamily
PF03062	MBOAT, membrane-bound O-acyltransferase family
PF03063	Prismane/CO dehydrogenase family
PF03065	Glycosyl hydrolase family 57
PF03067	Lytic polysaccharide mono-oxygenase, cellulose-degrading
PF03068	Protein-arginine deiminase (PAD)
PF03069	Acetamidase/Formamidase family
PF03071	GNT-I family
PF03074	Glutamate-cysteine ligase
PF03079	ARD/ARD' family
PF03088	Strictosidine synthase
#PF03096	Ndr family
PF03099	Biotin/lipoate A/B protein ligase family
PF03102	NeuB family
# PF03112	Uncharacterized protein family (ORF7) DUF
#PF03121	Herpesviridae UL52/UL70 DNA primase
#PF03130	PBS lyase HEAT-like repeat
PF03139	Vanadium/alternative nitrogenase delta subunit
PF03141	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF03142	Chitin synthase
#PF03143	Elongation factor Tu C-terminal domain
#PF03150	Di-haem cytochrome c peroxidase
PF03155	ALG6, ALG8 glycosyltransferase family
#PF03160	Calx-beta domain
PF03162	Tyrosine phosphatase family
#PF03167	Uracil DNA glycosylase superfamily
PF03170	Bacterial cellulose synthase subunit
PF03171	2OG-Fe(II) oxygenase superfamily
#PF03173	Putative carbohydrate binding domain
PF03174	Chitobiase/beta-hexosaminidase C-terminal domain
#PF03180	NLPA lipoprotein
PF03186	CobD/Cbib protein
# PF03196	Protein of unknown function, DUF261
#PF03199	Eukaryotic glutathione synthase
PF03200	Glycosyl hydrolase family 63 C-terminal domain
PF03201	H2-forming N5,N10-methylene-tetrahydromethanopterin dehydrogenase
#PF03203	MerC mercury resistance protein
PF03205	Molybdopterin guanine dinucleotide synthesis protein B
PF03211	Pectate lyase
#PF03214	Reversibly glycosylated polypeptide
#PF03215	Rad17 cell cycle checkpoint protein
PF03237	Terminase-like family
PF03241	4-hydroxyphenylacetate 3-hydroxylase C terminal
PF03243	Alkylmercury lyase
PF03254	Xyloglucan fucosyltransferase
PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF03264	NapC/NirT cytochrome c family, N-terminal region
PF03266	NTPase
PF03275	UDP-galactopyranose mutase
PF03279	Bacterial lipid A biosynthesis acyltransferase
PF03283	Pectinacetylesterase
PF03284	Phenazine biosynthesis protein A/B
#PF03288	Poxvirus D5 protein-like
PF03301	Tryptophan 2,3-dioxygenase
#PF03304	Mlp lipoprotein family
PF03306	Alpha-acetolactate decarboxylase
PF03309	Type III pantothenate kinase
PF03313	Serine dehydratase alpha chain
PF03315	Serine dehydratase beta chain
PF03319	Ethanolamine utilisation protein EutN/carboxysome
